Name,SMILES
CHEMBL3545085,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1
CHEMBL1289601,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O
CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
CHEMBL3545360,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
CHEMBL3301622,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
CHEMBL3688339,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1
CHEMBL1230609,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1
CHEMBL3991935,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H]1CO.Cl
CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
CHEMBL3260567,Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL2177369,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCCN4)CC3)c21
CHEMBL2177385,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)CC3)CC1)c1ccc(Cl)cc1
CHEMBL3785703,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21
CHEMBL3645119,COCC(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1
CHEMBL2087025,COc1ccc(C(=O)Nc2cc(-c3ccc(C(=O)O)cc3)[nH]n2)cc1
CHEMBL2177379,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCN4)CC3)c21
CHEMBL2177373,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CN)c4ccc(Cl)cc4)CC3)c21
CHEMBL2177370,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4COCCN4)CC3)c21
CHEMBL2177367,CO[C@H]1CC[C@H](NC[C@@H](C(=O)N2CCN(c3ncnc4c3[C@H](C)C[C@H]4O)CC2)c2ccc(Cl)cc2)CC1
CHEMBL2177366,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)cc4)CC3)c21
CHEMBL2177364,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCCCC4)c4ccc(Cl)cc4)CC3)c21
CHEMBL2177389,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](CO)CC3)CC1)c1ccc(Cl)cc1
CHEMBL2364611,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1
CHEMBL1950289,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1
